 round 1 : target (234,126) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 33 : target (178,45) 38.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 197.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 197.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 34 : target (178,45) 38.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 196.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 196.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 35 : target (178,45) 38.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 195.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 195.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 36 : target (178,45) 37.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 194.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 194.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 37 : target (178,45) 37.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 193.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 193.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 38 : target (178,45) 36.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 192.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 192.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 39 : target (178,45) 36.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 191.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 191.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 40 : target (178,45) 36.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 190.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 190.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 41 : target (178,45) 35.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 189.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 189.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 42 : target (178,45) 35.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 188.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 188.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 43 : target (178,45) 34.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 187.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 187.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 44 : target (178,45) 34.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 186.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 186.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 45 : target (178,45) 34.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 185.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 185.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 46 : target (178,45) 33.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 184.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 184.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 47 : target (178,45) 33.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 183.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 183.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 48 : target (178,45) 32.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 182.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 182.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 49 : target (178,45) 32.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 181.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 181.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 50 : target (178,45) 32.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 180.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 180.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 51 : target (178,45) 31.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 179.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 179.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 52 : target (178,45) 31.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 178.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 178.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 53 : target (178,45) 30.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 177.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 177.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 54 : target (178,45) 30.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 176.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 176.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 55 : target (178,45) 30.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 175.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 175.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 56 : target (178,45) 29.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 174.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 174.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 57 : target (178,45) 29.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 173.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 173.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 58 : target (178,45) 28.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 172.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 172.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 59 : target (178,45) 28.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 171.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 171.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 60 : target (178,45) 28.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 170.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 170.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 61 : target (178,45) 27.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 169.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 169.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 62 : target (178,45) 27.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 168.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 168.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 63 : target (178,45) 26.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 167.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 167.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 64 : target (178,45) 26.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 166.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 166.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 65 : target (178,45) 26.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 165.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 165.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 66 : target (178,45) 25.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 164.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 164.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 67 : target (178,45) 25.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 163.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 163.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 68 : target (178,45) 24.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 162.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 162.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 69 : target (178,45) 24.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 161.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 161.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 70 : target (178,45) 24.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 160.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 160.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 71 : target (178,45) 23.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 159.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 159.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 72 : target (178,45) 23.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 158.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 158.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 73 : target (178,45) 22.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 157.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 157.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 74 : target (178,45) 22.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 156.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 156.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 75 : target (178,45) 22.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 155.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 155.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 76 : target (178,45) 21.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 154.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 154.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 77 : target (178,45) 21.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 153.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 153.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 78 : target (178,45) 20.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 152.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 152.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 79 : target (178,45) 20.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 151.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 151.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 80 : target (178,45) 20.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 150.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 150.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 81 : target (178,45) 19.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 149.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 149.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 82 : target (178,45) 19.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 148.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 148.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 83 : target (178,45) 18.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 147.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 147.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 84 : target (178,45) 18.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 146.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 146.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 85 : target (178,45) 18.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 145.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 145.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 86 : target (178,45) 17.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 144.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 144.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 87 : target (178,45) 17.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 143.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 143.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 88 : target (178,45) 16.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 142.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 142.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 89 : target (178,45) 16.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 141.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 141.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 90 : target (178,45) 16.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 140.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 140.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 91 : target (178,45) 15.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 139.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 139.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 92 : target (178,45) 15.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 138.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 138.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 93 : target (178,45) 14.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 137.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 137.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 94 : target (178,45) 14.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 136.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 136.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 95 : target (178,45) 14.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 135.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 135.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 96 : target (178,45) 13.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 134.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 134.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 97 : target (178,45) 13.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 133.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 133.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 98 : target (178,45) 12.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 132.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 132.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 99 : target (178,45) 12.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 131.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 131.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 100 : target (178,45) 12.0 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 130.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 130.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 101 : target (178,45) 11.6 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 129.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 129.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 102 : target (178,45) 11.2 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 128.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 128.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 103 : target (178,45) 10.8 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 127.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 127.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 104 : target (178,45) 10.4 ; plane (127,127) 1 ; prop (20,35) 1 ;  [ HP 126.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 126.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
